# Accelerometer Data File
# Started @Fri Jul 20 17:04:29 GMT+08:00 2018
#
#
# sensor Vendor: STM
# sensor Name: K2HH Acceleration 
# sensor Resolution: 0.038307227m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.941 1.645 -2.569 10
0.94 1.686 -2.37 10
0.791 1.507 -2.247 12
0.625 1.241 -1.923 8
0.149 0.593 -1.07 14
-0.075 0.279 -0.544 6
-0.548 -0.391 0.714 10
-0.866 -1.216 2.055 10
-1.148 -2.038 3.243 10
-1.378 -2.663 4.306 10
-1.5 -3.017 4.99 10
-1.551 -3.502 4.847 10
-1.26 -3.249 3.997 10
-0.838 -2.69 2.458 10
-0.281 -1.818 0.939 10
0.267 -0.627 -0.2 10
0.674 0.504 -1.19 10
0.903 1.284 -2.124 10
1.086 2.15 -2.654 10
1.142 2.681 -3.302 10
1.237 2.984 -3.826 10
1.319 3.119 -4.154 10
1.279 2.817 -4.185 10
1.131 2.573 -4.23 10
1.094 2.551 -3.918 10
0.786 2.404 -3.186 9
0.251 1.879 -1.569 12
-0.275 0.947 -0.316 9
-0.735 -0.237 1.197 10
-1.082 -1.508 2.686 11
-1.31 -2.639 3.656 9
-1.392 -3.326 4.176 10
-1.299 -3.672 4.448 10
-1.107 -3.753 4.288 10
-0.836 -3.367 3.569 12
-0.641 -2.843 2.891 8
-0.383 -2.0 2.3 10
-0.063 -0.86 1.239 10
0.151 -0.312 0.533 10
0.39 0.344 -0.519 10
0.569 0.87 -0.993 10
0.678 1.313 -1.496 10
0.71 1.599 -1.74 10
0.569 1.827 -1.789 10
0.341 2.019 -1.744 10
0.208 1.998 -1.64 10
0.138 1.776 -1.463 10
0.079 1.484 -1.196 10
0.058 1.163 -1.049 10
0.033 0.841 -0.8 9
-0.039 0.568 -0.494 11
-0.078 0.21 -0.252 11
-0.089 0.028 -0.094 9
-0.122 -0.184 0.204 10
-0.136 -0.412 0.393 10
-0.215 -0.67 0.664 10
-0.313 -0.88 0.872 12
-0.298 -0.888 0.825 8
-0.267 -0.981 0.725 12
-0.224 -0.992 0.673 8
-0.144 -0.998 0.638 10
-0.09 -0.917 0.564 10
-0.047 -0.761 0.458 10
-0.02 -0.607 0.301 10
0.019 -0.407 0.116 11
0.056 -0.226 -0.029 8
0.086 -0.109 -0.178 11
0.121 0.02 -0.271 10
0.151 0.112 -0.287 10
0.206 0.182 -0.309 10
0.21 0.212 -0.296 10
0.21 0.244 -0.273 10
0.185 0.258 -0.247 10
0.136 0.246 -0.2 10
0.078 0.212 -0.121 10
